,id,Chinese_name,belonging,type,price
237,34760,FN57 | 日式荧光涂装 (崭新出厂),旭日,受限,533
238,34752,FN57 | 神祗 (崭新出厂),冬季攻势,军规,5.2
239,38596,FN57（StatTrak™） | 都市危机 (崭新出厂),先锋,军规,9.89
240,34715,FN57 | 表面淬火 (崭新出厂),军火交易 2 号,受限,59.79
241,38582,FN57（StatTrak™） | 朝枪夕拾 (崭新出厂),左轮武器箱,受限,57.99
242,34724,FN57 | 铜色星系 (崭新出厂),军火交易 3 号,受限,33.5
243,775825,FN57 | 绛之绽放 (崭新出厂),圣马克镇,军规,56.55
244,38600,FN57（StatTrak™） | 霸意大名 (崭新出厂),伽玛,军规,12.21
245,769509,FN57（StatTrak™） | 怒氓 (崭新出厂),棱彩,隐秘,184.3
246,835972,FN57（StatTrak™） | 童话城堡 (崭新出厂),“狂牙大行动”,保密,378
247,34765,FN57 | 夜影 (崭新出厂),电竞 2013 冬季,军规,5.07
248,34706,FN57 | 红苹果 (崭新出厂),仓库突击,工业,192.5
249,38553,FN57（StatTrak™） | 表面淬火 (崭新出厂),军火交易 2 号,受限,203.47
250,38548,FN57（StatTrak™） | 毛细血管 (崭新出厂),光谱,军规,4.82
251,34775,FN57 | 橘皮涂装 (崭新出厂),炙热沙城 II ,工业,2.05
252,34733,FN57 | 狩猎利器 (崭新出厂),突围,保密,31.86
253,38557,FN57（StatTrak™） | 铜色星系 (崭新出厂),军火交易 3 号,受限,43.1
254,34770,FN57 | 氮化处理 (崭新出厂),解体厂,军规,33.79
255,38592,FN57（StatTrak™） | 三位一体 (崭新出厂),野火,受限,30.88
256,38561,FN57（StatTrak™） | 狩猎利器 (崭新出厂),突围,保密,80
257,38577,FN57（StatTrak™） | 夜影 (崭新出厂),电竞 2013 冬季,军规,14.3
258,34743,FN57 | 暴怒野兽 (崭新出厂),“九头蛇大行动”,隐秘,398
259,37621,FN57（纪念品） | 暮色森林 (崭新出厂),列车停放站,消费,32.89
260,37616,FN57（纪念品） | 雇佣兵 (崭新出厂),荒漠迷城,消费,32.95
261,38566,FN57（StatTrak™） | 暴怒野兽 (崭新出厂),“九头蛇大行动”,隐秘,1350
262,34720,FN57 | 雇佣兵 (崭新出厂),荒漠迷城,消费,20
263,34748,FN57 | 狂野丛林 (崭新出厂),雨林遗迹,消费,41.96
264,37631,FN57（纪念品） | 橘皮涂装 (崭新出厂),炙热沙城 II ,工业,188.8
265,37635,FN57（纪念品） | 银白石英 (崭新出厂),安全处所,军规,1000
266,34728,FN57 | 暮色森林 (崭新出厂),列车停放站,消费,0.85
267,762065,FN57 | 冷却剂 (崭新出厂),2018 核子危机,消费,0.4
268,835438,CZ75 | 银质 (崭新出厂),远古,工业,4.48
269,38356,CZ75（StatTrak™） | 红鹰 (崭新出厂),幻彩 3 号,受限,29.66
270,38351,CZ75（StatTrak™） | 聚合物 (崭新出厂),手套,军规,4.28
271,34344,CZ75 | 燕尾 (崭新出厂),金库危机,军规,9.41
272,34327,CZ75 | 战术高手 (崭新出厂),光谱 2 号,受限,7.01
273,759240,CZ75 | 经济 (崭新出厂),地平线,受限,13
274,34331,CZ75 | 梅红时刻 (崭新出厂),军火交易 3 号,保密,184
275,34359,CZ75 | 相柳 (崭新出厂),光谱,保密,43
276,34336,CZ75 | 猛虎 (崭新出厂),突围,受限,8.92
277,34289,CZ75 | 绿色格纹 (崭新出厂),行李仓库,消费,6.96
278,835585,CZ75 | 世仇 (崭新出厂),“狂牙大行动”,军规,2.99
279,776097,CZ75 | 翡翠石英 (崭新出厂),挪威人,军规,115.2
280,835563,CZ75 | 丛林虚线 (崭新出厂),控制,消费,1.59
281,779302,CZ75（StatTrak™） | 做旧手艺 (崭新出厂),棱彩2号,军规,5
282,38361,CZ75（StatTrak™） | 战术高手 (崭新出厂),光谱 2 号,受限,19.9
283,759620,CZ75（StatTrak™） | 经济 (崭新出厂),地平线,受限,45.8
284,38374,CZ75（StatTrak™） | 花纹钢板 (崭新出厂),军火交易 3 号,受限,39.8
285,34322,CZ75 | 红鹰 (崭新出厂),幻彩 3 号,受限,8.19
286,34318,CZ75 | 聚合物 (崭新出厂),手套,军规,1.26
287,34313,CZ75 | 先驱 (崭新出厂),幻彩 2 号,受限,6.48
288,38346,CZ75（StatTrak™） | 先驱 (崭新出厂),幻彩 2 号,受限,15.9
289,34364,CZ75 | 黄夹克 (崭新出厂),弯曲猎手,保密,46.9
290,34286,CZ75 | 翡翠色调 (崭新出厂),解体厂,军规,30.98
291,34282,CZ75 | 深红之网 (崭新出厂),军火交易 3 号,军规,45
292,37551,CZ75（纪念品） | 复古圣杯 (崭新出厂),古堡激战,受限,388
293,34298,CZ75 | 印花板 (崭新出厂),伽玛 2 号,军规,1.57
294,779232,CZ75 | 做旧手艺 (崭新出厂),棱彩2号,军规,1.56
295,34354,CZ75 | 维多利亚 (崭新出厂),军火交易 3 号,隐秘,43.5
296,34340,CZ75 | 花纹钢板 (崭新出厂),军火交易 3 号,受限,31.68
297,38336,CZ75（StatTrak™） | 印花板 (崭新出厂),伽玛 2 号,军规,5.47
298,34308,CZ75 | 毒镖 (崭新出厂),猎杀者,军规,13
299,835928,CZ75（StatTrak™） | 世仇 (崭新出厂),“狂牙大行动”,军规,9.84
300,38388,CZ75（StatTrak™） | 相柳 (崭新出厂),光谱,保密,123.5
301,38370,CZ75（StatTrak™） | 猛虎 (崭新出厂),突围,受限,25
302,34279,CZ75 | 复古圣杯 (崭新出厂),古堡激战,受限,940
303,34349,CZ75 | 螺形扭转 (崭新出厂),猎杀者,军规,5.52
304,34303,CZ75 | 氮化处理 (崭新出厂),死亡游乐园,军规,121
305,43915,CZ75（StatTrak™） | 深红之网 (崭新出厂),军火交易 3 号,军规,466
306,775742,CZ75 | 紫青之色 (崭新出厂),运河水城,消费,5.39
307,38378,CZ75（StatTrak™） | 螺形扭转 (崭新出厂),猎杀者,军规,12.26
308,34293,CZ75 | 蓝巢 (崭新出厂),电竞 2014 夏季,军规,11.2
309,38331,CZ75（StatTrak™） | 蓝巢 (崭新出厂),电竞 2014 夏季,军规,36
310,34276,CZ75 | 军队之辉 (崭新出厂),解体厂,消费,6.61
311,38341,CZ75（StatTrak™） | 毒镖 (崭新出厂),猎杀者,军规,34.58
312,38365,CZ75（StatTrak™） | 梅红时刻 (崭新出厂),军火交易 3 号,保密,193
313,38383,CZ75（StatTrak™） | 维多利亚 (崭新出厂),军火交易 3 号,隐秘,432.5
314,38393,CZ75（StatTrak™） | 黄夹克 (崭新出厂),弯曲猎手,保密,148
315,755965,CZ75（纪念品） | 氮化处理 (崭新出厂),死亡游乐园,军规,290
316,33815,Tec-9 | 冰冠 (崭新出厂),伽玛,军规,1.99
317,41971,Tec-9 | 竹林 (崭新出厂),旭日,消费,12.4
318,835689,Tec-9 | 上古图腾 (崭新出厂),远古,军规,32.6
319,773685,Tec-9 | 闪光舞步 (崭新出厂),CS20,军规,1.17
320,774742,Tec-9 | 锈叶 (崭新出厂),圣马克镇,工业,8
321,41997,Tec-9 | 地下水 (崭新出厂),意大利小镇,消费,1.09
322,42026,Tec-9 | 战火重燃 (崭新出厂),幻彩 3 号,受限,7.9
323,41992,Tec-9 | 燃料喷射器 (崭新出厂),伽玛 2 号,保密,43.15
324,759316,Tec-9（StatTrak™） | 蛇-9 (崭新出厂),地平线,军规,8.9
325,769176,Tec-9 | 青竹伪装 (崭新出厂),棱彩,受限,5.94
326,773760,Tec-9（StatTrak™） | 闪光舞步 (崭新出厂),CS20,军规,3.94
327,762220,Tec-9 | 遥控 (崭新出厂),2018 核子危机,保密,38.1
